Headline,Label
70th anniversary communist party rule china one hong kong violent chaotic days city police chief saidan 18yearold protester shoot chest live bullet one six live round fire policeprotesters arm pole petrol bomb projectiles fight pitch battle police several part hong kongin police make two hundred and sixty-nine arrest day since protest beganthose detain range age twelve 71the government say stable conditionalthough people shoot rubber bullets previous protest first injury live roundpolice chief stephen lo say fire bullet lawful reasonable officer think colleagues live threatasked bullet fire close range mr lo say officer decide distance assailant hundreds people stag peaceful sitin outside teenager school wednesdaymeanwhile ninety-six people mostly students arrest sunday appear court charge riotingrepairs shop businesses public facilities include mass transit system way follow tuesday violencethe day saw highest number arrest since year protest begin highest number live round firedthe protest spark earlier year propose law would allow extradition hong kong chinese mainlandopponents think would put hong kongers risk unfair trials july hong kong leader carrie lam say law dead despite law withdraw protest continue every weekend,1
north korea may fire ballistic missile submarine move come hours pyongyang say would resume nuclear talk ussouth korean officials say missile launch near port wonsan fly 450km two hundred and eighty miles reach altitude 910km land sea japanif confirm would significant escalation shortrange test conduct since maythe news spark swift condemnationjapanese prime minister shinzo abe say violation unite nations security council resolutions ban north korea use ballistic missile technologyjust hours earlier pyongyang say denuclearisation talk washington could finally resume later weeknorth korea develop submarinelaunched ballistic missiles technology time halt longrange missile testingsouth korea national security council express concern test say place weight possibility submarinelaunched ballistic missile slbm south korea yonhap news agency reportedthe last slbm test north think take place august two thousand and sixteen president trump even take office,1
"descendants kill offer every sympathy understand pain diminish time campaigners say damage inflict british colonisation continue even maori communities suffer higher level deprivationin statement facebook page rongowhakaata iwi trust welcome british expression regretbut recall crew open fire almost soon land kill local chief others two hours cook crew trespass terrorise kill steal us maori right advocate critical lowkey ceremony stop short apologymany describe insensitive weekend anniversary events mark captain cook arrival expect attract proteststhey see invader whose explorations help chart pacific ocean also lead colonialism traditional communities destroyedthe uk offer expressions regret action happen colonial time instancesin may prime minister theresa may describe one thousand, nine hundred and nineteen amritsar massacre shameful scar britain history india",1
"small white plaque hide away back streets bustle yokohama hard find even man responsible creation ask directionsthat man mike galbraith historian spend past decade seek uncover truth japan rugby historythe plaque modest size rugby ball top may attract fan world cup final city stadium draw closerand within inscription lie seed remarkable story one involve samurai arm cricket match longrunning feud true origins sport take japan storma history graduate offer contribute article origins japanese rugby tour programmebefore get case generally hold belief rugby introduce japan one thousand, eight hundred and ninety-nine two cambridge graduate edward bramwell clarke ginnosuke tanakabut galbraith find evidence actually play much earlieran article date twenty-six january one thousand, eight hundred and sixty-six speak football club rugby know found port yokohamathat five years england rugby football union found earlier know club wales come existencethrilled achieve historian ultimate goal find new source evidence galbraith take discovery yokohama foot ball club yfbc japan rugby football union jrfu galbraith keep searchinghe find sketch match english scottish expats live yokohama magazine publish one thousand, eight hundred and seventy-four three years first rugby international two national team playedas word football use describe modernday football rugby back may question sport earlier article refer tobut doubt one thousand, eight hundred and seventy-three article galbraith uncover japan weekly mail state someone catch ball make good run opponents fine drop kick score goal surely would evidence enough convince everyone rugby play japan one thousand, eight hundred and ninety-nine yokohama foot ball club found close spot twenty-six january one thousand, eight hundred and sixty-six unveil none jrfu president shigetaka mori perhaps sign galbraith story finally acceptedas well plaque article write japanese rugby history distribute school yokohama one hundred thousand copy print give city shopsso galbraith finally stop battle stroll back hill away yokohama country athletic club yfbc become part one thousand, eight hundred and eighty-four share japanese proverb c3aa a aa a1  mean three years sit stone",1
speech mr johnson say nodeal outcome government seek outcome ready eve speech mr johnson tell conference fringe meet host dup hop reach deal eu course next days issue irish border keep free border check become frontier uk eu key stick point brexit negotiationsmr johnson say solution reach eu theresa may backstop antidemocratic inconsistent sovereignty uk claim offer mean uk unilaterally exit say people northern ireland rule would apply therethe pm use speech confirm part offer euhe say circumstances would check near border northern ireland proposals would respect peace process good friday agreementit include promise process renewable democratic consent stormont assembly relationship eu go forwardhe also refer use technological solutions ensure hard border island irelandhe say want deal reach essentially technical discussion exact nature future customs check technology improve whole time mr johnson also say would protect exist regulatory arrangements farmers businesses side border add time allow uk whole entire withdraw eu control trade policy start pm say would protect union echo main slogan conference mr johnson say let get brexit do thirty-one octoberato answer cry one hundred and seventy-four million vote brexit millions may vote remain first foremost democrats accept result referendum say tories antieuropean party uk antieuropean country pm add love europewe european forty-five years really dramatic constitutional change must new relationship eu mr johnson speech european commission spokeswoman say would examine proposals objectively add listen carefully uk say eu want agree deal uk say orderly withdrawal far preferable nodeal scenario nodeal turn end different place swamp slow uk every step years come pm also use opportunity criticise parliament say refuse deliver brexit refuse anything constructive refuse election say afraid three half years people begin feel take fool mr johnson say tories party nhs belief capitalism add understand vital symmetry heart modern british economy dynamic enterprise culture great public service precisely party capitalism praise london former mayor pledge unlock talent every corner uk ensure safety exist policies twenty thousand additional police officer tackle county line gang,1
"external link open new windowa london court find a35m 42m hold uk bank account must go descendants indian royal pakistanthe 70yearold dispute one thousand, nine hundred and forty-eight transfer a1m last nizam king hyderabad make london bank account hold pakistan high commissionerthe judge rule evidence back pakistan claim moneythe origins dispute go back partition british indiahyderabad princely state annex india one thousand, nine hundred and forty-eight military operation cash transfer make shortly",1
"ahe sit record pyarelal gandhias biographer afelt pulse fancy still beat feeblya pyarelal go say doctor hand dr bthe two patel nehru embrace unite grief shake yet selfpossessed governor general mountbatten watchedbut earth anniversary sparklingly abrighta 150th gandhias birth think death reason india world would little interest birth birth anniversary man life tussle passionate selfconsuming faith ahimsa stalk unceasingly fiercest violence last step take earthand something many many us worldwide want feel pulse patel day wrist gandhias legacy today see beat even ever feeblydoctors politics history tell us nottime make history make headlineslincoln president unite state america speak two hundred and seventy-two word gettysburg one thousand, eight hundred and sixty-three gandhi seditionaccused great trial ahmedabad one thousand, nine hundred and twenty-two expect make abreaka news need want speak political facts civilisational verities historical truthswhen lincoln rise speak carl sandburg biographer tell us take coat pocket note put steel eyeglasses look paper put back pocket make speech world forgottennames word like aoutsidera ainfiltratora aillegal immigranta hear timbre pitch worldas advance aliberala democracies entrench autocraciesgandhias legacy seem pulseless world move universal declaration human right global proclamation human intoleranceidealism go makeover emerge green room contemporary political fashion shape style anononsensea realismtruth gandhias obsession assail today agood olda oppositenumber untruth something else altogether something sinister make ahonest liesa look like bore schoolboythe dignity individual equality human be quest liberty foundational pillars indian constitutionaaand pandit jasraj voice divine fragrances compose om allah om moment sheer inspiration entrancement audience go sing time rapture redemptionbut tellingly universally archbishop canterbury visit india centenary year jallianwala bagh completely overwhelm indiaas truth prostrate monument atonethere us indians patel practical aidealsa altogether good dismiss human valueswhen patel real virtual try feel pulse truth provocation fail inflame propaganda fail ignite gullibility deludeand pulse revive man whose death make birth priceless legacy timelessyou reach limit free article monthsubscribe hindu get unlimited accesssign upfind mobilefriendly version article day newspaper one easytoread listenjoy read article without intrusion advertisementsa select list article match interest tastesmove smoothly article page load instantlya onestopshop see latest update manage preferenceswe brief latest important developments three time day digital subscription plan currently include epaper android iphone ipad mobile applications printprintable version oct two two thousand and nineteen seventy thousand, two hundred and forty-eight pm https wwwthehinducomnewsnationalmahatmagandhithepulseofalegacyinanageofheroicsarticle29567699ece",1
photo credit raghuvir srinivasan public sector mahanadi coalfields limit tuesday say suffer loss a1268 crore villagers stag agitation demand compensation goat die hit coalladen truckthe central psu lodge complaint local police action create illegal obstructionthe coal transportation dispatch work jagannath side one two talcher coalfields residents chatia hurt village create ruckus protest death goat accident coal transportation tipper prohibit mine area mcl saidajagannath side one two forcibly stop villagers eleven monday demand a160000 compensation say dikken mehra mcl spokespersonaoperations could resume two hundred and thirty pm follow intervention senior officials police threeandahalfhours illegal stoppage villagers cause estimate loss a114 crore account coal transportation side anda1128 crore account dispatch railways say mr mehrabesides estimate loss a1268 crore mcl government exchequer also suffer estimate loss tune a146 lakh due unprecedented stoppage point outaccording mcl coal mine restrict work zone people authorise train knowhow mine enter perform job entry mine areas totally prohibit general movementasome people peripheral localities deliberately trespass coal mine overburden areas pick coal firewood even make livestock graze cause concern saidyou reach limit free article monthsubscribe hindu get unlimited accesssign upfind mobilefriendly version article day newspaper one easytoread listenjoy read article without intrusion advertisementsa select list article match interest tastesmove smoothly article page load instantlya onestopshop see latest update manage preferenceswe brief latest important developments three time day digital subscription plan currently include epaper android iphone ipad mobile applications printsign upsupport hindu new online experience zero adsalready user,1
"first step towards prohibition andhra pradesh phase manner government take liquor trade retail store across state start tuesday bring total number store twenty three thousand, five hundred liquor shop run stateas ap state beverages corporation limit apsbcl open tuesday excise policy year two hundred and one thousand, nine hundred and twenty come forceearlier four thousand, three hundred and eighty shop run private license holders follow announcement new liquor policy renew license september 1in meantime prohibition excise p e departmentas apsbcl give exclusive privilege sell retail store open store every districtearlier close time fix nine pmin release government say liquor sales come fifteen july september new policy announcedas per rule liquor shop suppose locate within one hundred place public worship educational institution hospital least thirty bedsthe store sell liquor mrp issue bill accordingly besides prominently display price list store",1
special court tuesday extend judicial custody congress leader dk shivakumar till october fifteen allow enforcement directorate ed question jailmr shivakumar produce court completion judicial custodyon september twenty-five court dismiss bail application ed argue could influence witnessesthe agency arrest mr shivakumar last month connection moneylaundering chargethe case base chargesheet file income tax department last year allege tax evasion ahawalaa transactions pti input reach limit free article monthsubscribe hindu get unlimited accesssign upsupport hindu new online experience zero adsalready user,1
